Position (mm);Force (N);Strain (%);Time (min)
4.92;17300;1.10;4.93
4.93;17300;1.10;4.93
4.93;17300;1.10;4.94
4.94;17300;1.10;4.94
4.94;17300;1.10;4.95
4.95;17300;1.10;4.95
4.95;17300;1.10;4.96
4.96;17300;1.10;4.96
4.97;17300;1.10;4.97
4.97;17300;1.10;4.97
4.98;17300;1.10;4.98
4.98;17300;1.10;4.98
4.99;17300;1.10;4.99
4.99;17300;1.10;4.99
5.00;17300;1.10;5.00
5.00;17300;1.10;5.00
5.08;17600;1.10;5.01
5.19;17600;1.10;5.02
5.29;17600;1.10;5.02
5.40;17700;1.10;5.03
5.50;17700;1.10;5.03
5.61;17700;1.10;5.04
5.71;17800;1.10;5.04
5.82;17800;1.10;5.05
5.92;17900;1.10;5.05
6.03;17900;1.10;5.06
6.14;17900;1.10;5.06
6.24;18000;1.10;5.07
6.35;18000;1.10;5.07
6.45;18100;1.10;5.08
6.56;18100;1.10;5.08
6.66;18100;1.10;5.09
6.77;18100;1.10;5.09
6.88;18200;1.10;5.10
6.98;18200;1.10;5.11
7.09;18200;1.10;5.11
7.19;18200;1.10;5.12
7.30;18300;1.10;5.12
7.41;18300;1.10;5.13
7.51;18300;1.10;5.13
7.62;18300;1.10;5.14
7.72;18300;1.10;5.14
7.83;18300;1.10;5.15
7.93;18300;1.10;5.15
8.04;18300;1.10;5.16
8.15;18300;1.10;5.16
8.25;18300;1.10;5.17
8.36;18200;1.10;5.17
8.46;18200;1.10;5.18
8.57;18100;1.10;5.18
8.67;18100;1.10;5.19
8.78;18000;1.10;5.20
8.89;17900;1.10;5.20
8.99;17700;1.10;5.21
9.10;17600;1.10;5.21
9.20;17500;1.10;5.22
9.31;17300;1.10;5.22
9.41;17100;1.10;5.23
9.52;17000;1.10;5.23
9.63;16800;1.10;5.24
9.73;16600;1.10;5.24
9.84;16400;1.10;5.25
9.94;16200;1.10;5.25
10.0;16000;1.10;5.26
10.2;15700;1.10;5.26
10.3;15500;1.10;5.27
10.4;15300;1.10;5.27
10.5;15000;1.10;5.28
10.6;14700;1.10;5.29
10.7;14500;1.10;5.29
10.8;14200;1.10;5.30
10.9;13900;1.10;5.30
11.1;-248;1.10;5.31
